id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
26688344,Nashville Condo with Millennial Flavor,22149003,A.,,District 26,36.0864,-86.73276,Private room,65,2,5,2019-05-11,0.34,2,144
26690269,Luxurious. Spacious. Gorgeous. Downtown. Minutes to Broadway,133589484,Regis & Christi,,District 21,36.18286,-86.80578,Entire home/apt,450,2,47,2019-11-16,3.03,2,341
26693393,Mini Master Suite With Large Private Deck,5178185,Joel,,District 6,36.1724,-86.74714,Private room,120,1,33,2019-10-20,2.03,8,296
26713924,Star Wars Suite: Not your typical crash pad...,200867539,Elissa,,District 28,36.06809,-86.67039,Private room,30,1,78,2019-10-20,4.70,2,12
26718490,Cozy King Cottage!!!,123202176,Sharri,,District 5,36.18799,-86.76174,Entire home/apt,126,2,80,2019-11-10,4.85,1,157
26737176,Trendy Chestnut Hill Oasis: 5 min Lyft to Broadway,31037729,Jordan And Joshua,,District 17,36.14878,-86.7628,Private room,65,2,54,2019-11-17,3.82,1,188
26745051,Luxury Downtown! Midtown/Vandy! 7 Min to Broadway,11849086,Elite,,District 21,36.15192,-86.8018,Entire home/apt,122,1,96,2019-11-05,5.95,11,78
26751150,Private room in a Nature Grounded Hillside Home,188186558,Christina,,District 8,36.21078,-86.75849,Private room,75,1,40,2019-11-17,4.40,2,20
26751460,5 mins to DT! 1BD/1BR cute condo!,188039240,Hally,,District 18,36.1256,-86.80578,Entire home/apt,160,1,2,2019-11-10,2,2,56
26764632,✦Private Suite near downtown ✦ 2 miles to Broadway,88959664,Julian,,District 5,36.18895,-86.76973,Entire home/apt,89,1,99,2019-11-15,6.20,6,80
26769721,Modern Home with Rooftop Deck - $5 to Downtown!,85360355,StayLocal,,District 5,36.19356,-86.7565,Entire home/apt,97,1,14,2019-10-30,1.01,115,258
26772027,A7 & A9) TWO NEW HOMES - 8 Bedrooms - IN GULCH,132613025,Tyler,,District 17,36.1462,-86.78559,Entire home/apt,799,2,15,2019-09-29,0.99,37,212
26772755,The Pines on Trousdale!,201304408,Gail,,District 26,36.07803,-86.75802,Entire home/apt,135,2,40,2019-11-10,2.59,1,324
26776225,Golden Ticket in The Gulch,13049961,Turner,,District 19,36.15001,-86.788,Entire home/apt,417,1,51,2019-10-28,3.14,1,310
26780958,Colorful bungalow in the Nations,33239591,Anitra,,District 20,36.15926,-86.84888,Entire home/apt,200,1,9,2019-08-18,0.71,1,352
26781319,12th South Beauty,153919195,Clark,,District 18,36.12755,-86.79321,Entire home/apt,185,1,19,2019-11-04,1.22,30,157
26782908,Vanderbilt Townhouse #1/minutes to Broadway,71301768,John,,District 21,36.14449,-86.82056,Entire home/apt,139,2,49,2019-11-05,3.02,10,277
26787163,Chic Southwestern Inspired Urban Townhouse at the Easterly,31549142,Brandon,,District 5,36.17974,-86.75882,Entire home/apt,109,1,49,2019-11-13,3.02,32,343
